timestamp,elapsed_ms,device,link_index,address,distance_cm,snr_db,raw
"2026-07-30T17:49:14.561Z","27444","2","1","0200","107","4","P1,0200,107cm,4dB"
"2026-07-30T17:49:14.661Z","27544","1","0","0100","98","19","P0,0100,98cm,19dB"
"2026-07-30T17:49:14.661Z","27544","2","1","0200","125","-2","P1,0200,125cm,-2dB"
"2026-07-30T17:49:14.759Z","27642","1","0","0100","96","17","P0,0100,96cm,17dB"
"2026-07-30T17:49:14.861Z","27744","1","0","0100","96","18","P0,0100,96cm,18dB"
"2026-07-30T17:49:14.861Z","27744","2","1","0200","113","0","P1,0200,113cm,0dB"
"2026-07-30T17:49:14.961Z","27844","1","0","0100","98","19","P0,0100,98cm,19dB"
"2026-07-30T17:49:14.961Z","27844","2","1","0200","117","-2","P1,0200,117cm,-2dB"
"2026-07-30T17:49:15.061Z","27944","1","0","0100","98","17","P0,0100,98cm,17dB"
"2026-07-30T17:49:15.061Z","27944","2","1","0200","125","3","P1,0200,125cm,3dB"
"2026-07-30T17:49:15.161Z","28044","1","0","0100","92","19","P0,0100,92cm,19dB"
"2026-07-30T17:49:15.161Z","28044","2","1","0200","136","5","P1,0200,136cm,5dB"
"2026-07-30T17:49:15.261Z","28144","1","0","0100","89","19","P0,0100,89cm,19dB"
"2026-07-30T17:49:15.261Z","28144","2","1","0200","107","-2","P1,0200,107cm,-2dB"
"2026-07-30T17:49:15.361Z","28244","1","0","0100","93","18","P0,0100,93cm,18dB"
"2026-07-30T17:49:15.361Z","28244","2","1","0200","101","-1","P1,0200,101cm,-1dB"
"2026-07-30T17:49:15.461Z","28344","1","0","0100","95","18","P0,0100,95cm,18dB"
"2026-07-30T17:49:15.461Z","28344","2","1","0200","110","3","P1,0200,110cm,3dB"
"2026-07-30T17:49:15.561Z","28444","1","0","0100","96","19","P0,0100,96cm,19dB"
"2026-07-30T17:49:15.561Z","28444","2","1","0200","125","7","P1,0200,125cm,7dB"
"2026-07-30T17:49:15.661Z","28544","1","0","0100","98","17","P0,0100,98cm,17dB"
"2026-07-30T17:49:15.661Z","28544","2","1","0200","121","5","P1,0200,121cm,5dB"
"2026-07-30T17:49:15.761Z","28644","1","0","0100","98","20","P0,0100,98cm,20dB"
"2026-07-30T17:49:15.761Z","28644","2","1","0200","105","-2","P1,0200,105cm,-2dB"
"2026-07-30T17:49:15.859Z","28742","1","0","0100","97","20","P0,0100,97cm,20dB"
"2026-07-30T17:49:15.961Z","28844","1","0","0100","97","17","P0,0100,97cm,17dB"
"2026-07-30T17:49:15.961Z","28844","2","1","0200","111","1","P1,0200,111cm,1dB"
"2026-07-30T17:49:16.061Z","28944","1","0","0100","96","17","P0,0100,96cm,17dB"
"2026-07-30T17:49:16.061Z","28944","2","1","0200","122","4","P1,0200,122cm,4dB"
"2026-07-30T17:49:16.161Z","29044","1","0","0100","96","19","P0,0100,96cm,19dB"
"2026-07-30T17:49:16.161Z","29044","2","1","0200","106","4","P1,0200,106cm,4dB"
"2026-07-30T17:49:16.259Z","29142","1","0","0100","95","18","P0,0100,95cm,18dB"
"2026-07-30T17:49:16.361Z","29244","1","0","0100","95","17","P0,0100,95cm,17dB"
"2026-07-30T17:49:16.361Z","29244","2","1","0200","88","5","P1,0200,88cm,5dB"
"2026-07-30T17:49:16.461Z","29344","1","0","0100","96","19","P0,0100,96cm,19dB"
"2026-07-30T17:49:16.461Z","29344","2","1","0200","117","-1","P1,0200,117cm,-1dB"
"2026-07-30T17:49:16.561Z","29444","1","0","0100","94","18","P0,0100,94cm,18dB"
"2026-07-30T17:49:16.561Z","29444","2","1","0200","124","0","P1,0200,124cm,0dB"
"2026-07-30T17:49:16.661Z","29544","1","0","0100","94","20","P0,0100,94cm,20dB"
"2026-07-30T17:49:16.661Z","29544","2","1","0200","128","3","P1,0200,128cm,3dB"
"2026-07-30T17:49:16.761Z","29644","1","0","0100","92","16","P0,0100,92cm,16dB"
"2026-07-30T17:49:16.761Z","29644","2","1","0200","112","3","P1,0200,112cm,3dB"
"2026-07-30T17:49:16.861Z","29744","1","0","0100","94","15","P0,0100,94cm,15dB"
"2026-07-30T17:49:16.861Z","29744","2","1","0200","119","4","P1,0200,119cm,4dB"
"2026-07-30T17:49:16.961Z","29844","1","0","0100","94","18","P0,0100,94cm,18dB"
"2026-07-30T17:49:16.961Z","29844","2","1","0200","128","7","P1,0200,128cm,7dB"
"2026-07-30T17:49:17.061Z","29944","1","0","0100","92","17","P0,0100,92cm,17dB"
"2026-07-30T17:49:17.061Z","29944","2","1","0200","120","0","P1,0200,120cm,0dB"
"2026-07-30T17:49:17.161Z","30044","1","0","0100","92","19","P0,0100,92cm,19dB"
"2026-07-30T17:49:17.161Z","30044","2","1","0200","121","4","P1,0200,121cm,4dB"
"2026-07-30T17:49:17.261Z","30144","1","0","0100","93","18","P0,0100,93cm,18dB"
"2026-07-30T17:49:17.261Z","30144","2","1","0200","120","8","P1,0200,120cm,8dB"
"2026-07-30T17:49:17.361Z","30244","1","0","0100","94","19","P0,0100,94cm,19dB"
"2026-07-30T17:49:17.361Z","30244","2","1","0200","110","1","P1,0200,110cm,1dB"
"2026-07-30T17:49:17.461Z","30344","1","0","0100","91","18","P0,0100,91cm,18dB"
"2026-07-30T17:49:17.461Z","30344","2","1","0200","127","5","P1,0200,127cm,5dB"
"2026-07-30T17:49:17.561Z","30444","1","0","0100","94","18","P0,0100,94cm,18dB"
"2026-07-30T17:49:17.561Z","30444","2","1","0200","114","1","P1,0200,114cm,1dB"
"2026-07-30T17:49:17.661Z","30544","1","0","0100","93","16","P0,0100,93cm,16dB"
"2026-07-30T17:49:17.661Z","30544","2","1","0200","122","4","P1,0200,122cm,4dB"
"2026-07-30T17:49:17.761Z","30644","1","0","0100","95","19","P0,0100,95cm,19dB"
"2026-07-30T17:49:17.761Z","30644","2","1","0200","106","6","P1,0200,106cm,6dB"
"2026-07-30T17:49:17.861Z","30744","1","0","0100","97","20","P0,0100,97cm,20dB"
"2026-07-30T17:49:17.861Z","30744","2","1","0200","121","4","P1,0200,121cm,4dB"
"2026-07-30T17:49:17.961Z","30844","1","0","0100","94","18","P0,0100,94cm,18dB"
"2026-07-30T17:49:17.961Z","30844","2","1","0200","122","6","P1,0200,122cm,6dB"
"2026-07-30T17:49:18.061Z","30944","1","0","0100","93","19","P0,0100,93cm,19dB"
"2026-07-30T17:49:18.061Z","30944","2","1","0200","121","1","P1,0200,121cm,1dB"
"2026-07-30T17:49:18.159Z","31042","1","0","0100","97","19","P0,0100,97cm,19dB"
"2026-07-30T17:49:18.261Z","31144","1","0","0100","96","18","P0,0100,96cm,18dB"
"2026-07-30T17:49:18.261Z","31144","2","1","0200","119","4","P1,0200,119cm,4dB"
"2026-07-30T17:49:18.361Z","31244","1","0","0100","98","16","P0,0100,98cm,16dB"
"2026-07-30T17:49:18.361Z","31244","2","1","0200","122","0","P1,0200,122cm,0dB"
"2026-07-30T17:49:18.461Z","31344","1","0","0100","96","18","P0,0100,96cm,18dB"
"2026-07-30T17:49:18.461Z","31344","2","1","0200","127","1","P1,0200,127cm,1dB"
"2026-07-30T17:49:18.561Z","31444","1","0","0100","100","16","P0,0100,100cm,16dB"
"2026-07-30T17:49:18.561Z","31444","2","1","0200","98","1","P1,0200,98cm,1dB"
"2026-07-30T17:49:18.661Z","31544","1","0","0100","97","18","P0,0100,97cm,18dB"
"2026-07-30T17:49:18.661Z","31544","2","1","0200","108","6","P1,0200,108cm,6dB"
"2026-07-30T17:49:18.761Z","31644","1","0","0100","96","20","P0,0100,96cm,20dB"
"2026-07-30T17:49:18.761Z","31644","2","1","0200","104","5","P1,0200,104cm,5dB"
"2026-07-30T17:49:18.861Z","31744","1","0","0100","96","22","P0,0100,96cm,22dB"
"2026-07-30T17:49:18.861Z","31744","2","1","0200","125","1","P1,0200,125cm,1dB"
"2026-07-30T17:49:18.961Z","31844","1","0","0100","96","20","P0,0100,96cm,20dB"
"2026-07-30T17:49:18.961Z","31844","2","1","0200","111","5","P1,0200,111cm,5dB"
"2026-07-30T17:49:19.061Z","31944","1","0","0100","97","22","P0,0100,97cm,22dB"
"2026-07-30T17:49:19.061Z","31944","2","1","0200","99","3","P1,0200,99cm,3dB"
"2026-07-30T17:49:19.161Z","32044","1","0","0100","95","17","P0,0100,95cm,17dB"
"2026-07-30T17:49:19.161Z","32044","2","1","0200","109","1","P1,0200,109cm,1dB"
"2026-07-30T17:49:19.261Z","32144","1","0","0100","95","19","P0,0100,95cm,19dB"
"2026-07-30T17:49:19.261Z","32144","2","1","0200","123","1","P1,0200,123cm,1dB"
"2026-07-30T17:49:19.361Z","32244","1","0","0100","98","18","P0,0100,98cm,18dB"
"2026-07-30T17:49:19.361Z","32244","2","1","0200","114","1","P1,0200,114cm,1dB"
"2026-07-30T17:49:19.461Z","32344","1","0","0100","97","19","P0,0100,97cm,19dB"
"2026-07-30T17:49:19.461Z","32344","2","1","0200","111","4","P1,0200,111cm,4dB"
"2026-07-30T17:49:19.561Z","32444","1","0","0100","95","18","P0,0100,95cm,18dB"
"2026-07-30T17:49:19.561Z","32444","2","1","0200","127","1","P1,0200,127cm,1dB"
